term,ngram_len,total_freq,doc_freq_of_62,example_sentence
recent months home,3,4,4,"In recent months, home prices reverted to registering moderate increases, and have increased by approximately 0.5 percent in the past year  ."
moderately in view,3,4,4,"The current account surplus in the third quarter increased moderately, in view of the increase in services exports."
indicate weakness,2,4,4,"In Europe, the economic picture continues to indicate weakness, although first quarter growth data in a number of leading economies surprised to the upside."
slowdown in growth,3,4,4,"The ECB left its interest rate unchanged, and its president noted that there are greater   expectations for a slowdown in growth in 2019."
oil prices remained,3,4,4,"Oil prices remained stable since the previous interest rate decision, in view of the decline in supply being offset by worsening sentiment in the markets.  . prior to this interest rate decision will be published on June 3, 2019."
decision in view,3,4,4,"Oil prices remained stable since the previous interest rate decision, in view of the decline in supply being offset by worsening sentiment in the markets.  . prior to this interest rate decision will be published on June 3, 2019."
months but remains,3,4,4,"Inflation in the prices of nontradable goods, an approximation of the domestic component of inflation, moderated in recent months, but remains above the 2 percent level, and inflation in tradable goods prices continues to increase."
latest,1,4,4,"Labor market data indicate that it remains tight—the unemployment rate continues to decline, and the latest data on the employment and participation rates show they declined slightly but remain high  ."
production continues,2,4,4,"In Europe, the economic picture continues to indicate weakness, and industrial production continues to contract."
industrial production continues,3,4,4,"In Europe, the economic picture continues to indicate weakness, and industrial production continues to contract."
continues to contract,3,4,4,"In Europe, the economic picture continues to indicate weakness, and industrial production continues to contract."
expectations declined,2,4,4,"Short- and medium-term inflation expectations declined, with one-year expectations ranging around the lower bound of the target range, but long-term expectations remained anchored near the midpoint of the target range."
durable,1,4,4,"Private consumption excluding durable goods and public consumption drove growth in the second quarter, and the trend of expansion that has characterized exports in the past two years continued, led by services exports."
durable goods,2,4,4,"Private consumption excluding durable goods and public consumption drove growth in the second quarter, and the trend of expansion that has characterized exports in the past two years continued, led by services exports."
moreover,1,4,4,"Moreover, if necessary, the Committee will take additional steps toward making monetary policy even more accommodative in order to support a process at the end of which inflation will stabilize around the midpoint of the target range, and to support economic activity."
index readings,2,4,4,"After most index readings since the beginning of the year surprised to the upside, the readings for June and July were markedly lower than expected."
travel abroad,2,4,4,"The annual pace of inflation of the tradable components also increased, to 5.4 percent, influenced by the contribution of travel abroad by Israelis.  ."
department assessments,2,4,4,"GDP grew by 1 percent, but according to Research Department assessments, the growth rate net of this effect was above the potential rate."
research department assessments,3,4,4,"GDP grew by 1 percent, but according to Research Department assessments, the growth rate net of this effect was above the potential rate."
eased,1,4,4,"Similar to global yields, medium- and long-term government bond yields declined sharply and eased financial conditions in the economy."
revised its global,3,4,4,"In July, even before the intensification of the ""trade war"", the IMF revised its 2019 global growth and world trade forecasts downward  ."
expected and inflation,3,4,4,"Growth in the second quarter was lower than in the first quarter, but higher than expected, and inflation is slightly below the target."
israel the monetary,3,4,4,
necessary to leave,3,4,4,
level for prolonged,3,4,4,
short-term inflation,2,4,4,"In view of the decline in inflation and the appreciation of the shekel, short-term inflation expectations also declined, and one-year expectations are around the lower bound of the target range  ."
managers index declined,3,4,4,"In contrast, the Purchasing Managers Index declined significantly in August, and indicates a contraction of activity."
exports continues,2,4,4,"The most recent data on goods exports were relatively good, in view of improved exports of electronic components, and the trend of growth in services exports continues."
certain,1,4,4,"Growth in 2020 is expected to be about 0.5 percentage points lower than in the previous forecast, as a result of the decline in export forecasts due to the expected slowdown in world trade, and due to the assumption that the government will need to take certain measures to lower the deficit."
rents remained,2,4,4,"The increase in the past year is approximately 0.7 percent, while the rate of increase in rents remained stable around 2.5 percent."
furthermore,1,4,4,"Furthermore, the Committee is taking additional steps as necessary to make monetary policy more accommodative."
inflation was percent,3,4,4,"In the past 12 months, inflation was 0.4 percent  ."
remained negative,2,4,4,"Inflation of nontradable goods prices continued to moderate, and inflation in the prices of tradable goods remained negative."
tradable goods remained,3,4,4,"Inflation of nontradable goods prices continued to moderate, and inflation in the prices of tradable goods remained negative."
third quarter gdp,3,4,4,"According to the first estimate of National Accounts data for the third quarter, GDP grew by 4.1 percent  ."
quarter gdp grew,3,4,4,"According to the first estimate of National Accounts data for the third quarter, GDP grew by 4.1 percent  ."
yields in europe,3,4,4,"Long-term government bond yields remained stable since the previous interest rate decision, despite the increase in yields in Europe and the US  ."
increase moderately,2,4,4,"Home prices continued to increase moderately, and in the past year they have increased by 1.9 percent, while the annual rate of increase in rents is moderating."
continued to slow,3,4,4,The global economy continued to slow  .
declined moderately,2,4,4,Expectations derived from CPI financial contracts appear to have declined moderately in recent months.
market remained,2,4,4,"Medium-and long-term forward inflation expectations derived from the bond market remained largely stable since the previous interest rate decision, and have increased slightly in recent days  ."
services exports continued,3,4,4,"Goods exports were flat in October and November, while services exports continued to grow rapidly in October  ."
activity and inflation,3,4,4,"The interim budget is expected to have a markedly contractionary effect in the first half of 2020, even in view of the path of government debt repayment, and uncertainty remains regarding budgetary policy thereafter and its implications for economic activity and inflation."
moderate improvement,2,4,4,"The global economy continues to slow, but several indicators point to a possible moderate improvement in the coming months."
houses global,2,4,4,"Investment houses’ global growth forecast for 2020 were revised slightly downward, while the revision for growth in China is more significant  ."
investment houses global,3,4,4,"Investment houses’ global growth forecast for 2020 were revised slightly downward, while the revision for growth in China is more significant  ."
houses global growth,3,4,4,"Investment houses’ global growth forecast for 2020 were revised slightly downward, while the revision for growth in China is more significant  ."
uncertainty surrounding,2,4,4,"The slowdown in world trade continues  , but the political risks have moderated in view of the signing of the first stage of the trade agreement between the US and China, and the decline in uncertainty surrounding the progress of the Brexit process."
chinese,1,4,4,"The baseline scenario guiding the assessments of most international financial institutions is that the spread of the virus will be halted in the coming months, and the damage to the Chinese economy will be restricted mainly to the first quarter of 2020."
provision,1,4,4,"Provision of monetary loans to banks for a term of 3 years, with a fixed interest rate of 0.1 percent."
considerable uncertainty,2,4,4,"Note that there is considerable uncertainty regarding the forecast crisis, in view of the lack of clarity about the length and magnitude of the crisis."
economies declined,2,4,4,"Equity market indices in major economies declined by approximately 30 percent, and afterward most of them offset part of the decline against the background of steps by central banks and the governments."
reaching percent,2,4,4,"The CPI declined by 0.4 percent in January and by 0.1 percent in February, so that the year over year inflation rate continued to fall, reaching 0.1 percent, with a moderate decrease in inflation expectations, from all sources, as well."
limitations on economic,3,4,4,"This would lead to an expansion of the limitations on economic activity and the shutdown of the education system for several weeks, particularly in the northern region but also in the central part of the country."
global equity markets,3,4,4,"There was anomalous volatility in the exchange rate during March, against the background of the dollar liquidity distress resulting from dollar margin calls after the sharp declines in global equity markets."
contraction in activity,3,4,4,Sentiment indices also point to contraction in activity.
extension,1,4,4,"Governments announced extensive plans to expand public expenditure, compensation for those adversely impacted by the crisis, and the extension of credit to the business sector."
lengthening,1,4,4,
crisis is lengthening,3,4,4,
occurred,1,4,4,"However, over the year as a whole, the volatility of vehicle imports (which occurred at the end of the previous year as well) did not have a significant impact on annual growth."
show recovery,2,4,4,"Indicators of private consumption show a recovery; data on credit card purchases indicate an increase in the scope of purchases in most industries in which the strict limitations were removed, to close to the pre-crisis level."
mobility to workplaces,3,4,4,"Indicators of the public’s mobility show an increase in the scope of mobility to workplaces, retail and recreation, beginning in mid-April  ."
exports declined,2,4,4,Goods exports declined sharply in March and April.
fell,1,4,4,"The crisis led to a decline in the inflation rate worldwide and to a sharp decline in commodity prices  ; the price of oil fell sharply although it has recovered partly in recent days, with exceptional volatility. decision will be published on June 8, 2020."
assets,1,4,4,The pricing of some financial assets may not necessarily reflect all of the risks.
alongside continued,2,4,4,"In the housing market, home prices increased in the past two months, alongside continued moderation in rents."
imports declined,2,4,4,"All components of goods imports declined in May, including the import of raw materials, which was stable in March and April."
department updated,2,4,4,The Research Department updated its macroeconomic forecast.
research department updated,3,4,4,The Research Department updated its macroeconomic forecast.
constraint remains higher,3,4,4,"The Business Tendency Survey indicates some moderation in companies’ difficulties in obtaining credit, but the constraint remains higher than it was prior to the crisis."
significant contraction,2,4,4,"Global GDP contracted sharply in the first quarter, particularly in the major economies, and indicators for April and May point to an even more significant contraction in the second quarter."
second quarter gdp,3,4,4,"According to the National Accounts data, second quarter GDP was approximately 11 percent lower than what would have been expected without the crisis."
inflation target,2,4,4,"Medium-term forward inflation expectations have increased, such that inflation expectations at the end of the second year are slightly below the lower bound of the inflation target, and longer-term expectations are anchored within the target range."
months prior,2,4,4,"Home prices increased in May–June by 0.4 percent following a decline of 0.8 percent in April–May, and the annual rate of increase moderated markedly, from an annual rate of more than 3 percent in the months prior to March–April to an annual rate of 1.9 percent."
china gdp,2,4,4,"In China, GDP grew by about 5.3 percent in annual terms compared to the previous quarter—lower than the average in the precrisis years."
exceeding,1,4,4,"According to the first estimate of National Accounts data for the fourth quarter, GDP in 2021 grew by 8.1 percent—exceeding the forecast growth—and per capita GDP grew by 6.3 percent."
financing constraint,2,4,4,"Following a sharp incline at the start of the crisis, there has been a downward trend in demand for financing on the part of companies, but the rate of companies reporting a serious financing constraint remains higher than it was prior to the crisis, and it increased slightly in September."
utilize,1,4,4,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee continues to utilize a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the continued orderly functioning of the financial markets."
utilize range,2,4,4,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee continues to utilize a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the continued orderly functioning of the financial markets."
flash surveys,2,4,4,Central Bureau of Statistics flash surveys showed continued improvement in firms’ expectations regarding their volume of activity.
quarter show,2,4,4,"Companies Survey data for the third quarter show that the net balance increased to a higher level than during the first quarter of 2020, but its level still reflects a strong contraction of activity."
tendency survey conducted,3,4,4,The Business Tendency Survey conducted by the Central Bureau of Statistics shows a similar picture  .
energy fruits,2,4,4,"Inflation excluding energy, fruits, and vegetables in the past 12 months is -0.4 percent  ."
added,1,4,4,"At the end of September, the outline for deferring bank loans was further extended and expanded to December 31, 2020, and credit card companies were added to it."
improvement in activity,3,4,4,"The improvement in activity also led to an upward revision in the IMF’s forecast, which now projects contraction of 4.4 percent in the global economy in 2020 (compared to a contraction of 4.9 percent in the June forecast)."
covid period,2,4,4,"The average wage in the economy increased in line with the precrisis trends, as did the average wage after neutralizing the effect of the employee composition that was typical of the COVID-19 period."
probability,1,4,4,"Regarding 2021, a high level of uncertainty remains regarding the forecast in view of the recent increase in the infection coefficient and the probability of additional lockdowns compared to the chances of a vaccine during 2021."
trend and corporate,3,4,4,"In the domestic market, yields increased on the shekel bond curve similar to the global trend, and corporate bond spreads continued to narrow alongside the price increases on equity indices  ."
credit remained,2,4,4,"The Business Tendency Survey shows that there was a decline in the difficulty of raising credit by large and medium businesses, while for small businesses the difficulty of raising bank credit remained at its previous level  ."
economic indicators point,3,4,4,"In the US, morbidity is spreading at a high rate, but economic indicators point to a continued recovery in the fourth quarter."
business sector increased,3,4,4,"Bank credit to the business sector increased in recent months, and the increase in housing credit also continued."
opening,1,4,4,"With the opening of street-front stores at the beginning of November, there was a jump in credit card purchases, and since then, the level has been slightly higher than it was prior to the crisis  ."
rate of business,3,4,4,"The rate of business closures increases the smaller they are, as does the rate of those dismissed from the business."
base,1,4,4,"In view of the dispersal of the Knesset without passing the state budget for 2021, and in order to prevent large-scale cutbacks in government activity, the government increased the budget base for 2020 so that the interim budget in 2021 will be less restraining than was previously expected."
various sources increased,3,4,4,Inflation expectations for the coming year from the various sources increased slightly but remain below the lower bound of the target range.
volume of transactions,3,4,4,"The volume of transactions in the housing market is lower than in the precrisis period, and there was a marked slowdown in building starts."
sector mainly,2,4,4,"The high morbidity levels have led to a slowdown in the services sector, mainly in Europe, while the improvements in manufacturing and in world trade continue. start of inoculation campaigns, with slight increases in US treasury bond yields."
moderation in activity,3,4,4,"In the US, a fiscal incentive program was approved and the growth forecasts were revised upward, but private consumption and labor market data point to moderation in activity."
together,1,4,4,"According to the Business Tendency Survey conducted by the Central Bureau of Statistics, there was a sharp increase in companies reporting difficulties in recruiting workers, together with a notable increase in reported job vacancies."
long-term inflation,2,4,4,Medium- and long-term inflation expectations are anchored within the target range.
long-term inflation expectations,3,4,4,Medium- and long-term inflation expectations are anchored within the target range.
life,1,4,4,The opening of the economy and the return to normal life in Israel are expected to support continued rapid growth in the coming year.
health risks,2,4,4,"However, there are still challenges to economic activity in view of the health risks in Israel and abroad."
risks in israel,3,4,4,"However, there are still challenges to economic activity in view of the health risks in Israel and abroad."
economy particularly,2,4,4,"The crisis's adverse effects on the economy, particularly the labor market, are expected to be prolonged."
time using,2,4,4,
using range,2,4,4,
necessary including,2,4,4,
conduct very accommodative,3,4,4,
prolonged time using,3,4,4,
time using range,3,4,4,
tools as necessary,3,4,4,
tool in order,3,4,4,
relatively high levels,3,4,4,"From an industry standpoint, the average level of difficulty in obtaining credit returned to its precrisis level in all industries except hotels, where there was a sharp decline in the difficulty in March, but companies are still reporting relatively high levels of difficulty in obtaining credit."
alongside an increase,3,4,4,"Alongside this, some of the data indicate difficulties in the labor market’s recovery process: the number of job vacancies continues to rise, alongside an increase in employers’ difficulty in recruiting new workers in some industries."
card transactions,2,4,4,"The level of consumption through credit card transactions returned to, and even crossed, the trend line that was expected prior to the crisis  ."
credit card transactions,3,4,4,"The level of consumption through credit card transactions returned to, and even crossed, the trend line that was expected prior to the crisis  ."
decline in credit,3,4,4,"During the conflict, there was a transitory decline in credit card expenditures, but these expenditures recovered rapidly."
considered,1,4,4,"Since the exit from the third lockdown, there has been an increase in the adjusted employment rate (according to which COVID-19 absentees are not considered employed), to 56.6 percent in May, while the rate was 61 percent in 2019, prior to the crisis."
considered employed,2,4,4,"Since the exit from the third lockdown, there has been an increase in the adjusted employment rate (according to which COVID-19 absentees are not considered employed), to 56.6 percent in May, while the rate was 61 percent in 2019, prior to the crisis."
manufacturing companies,2,4,4,"According to the Business Tendency Survey, there was a significant increase in the rate of manufacturing companies reporting difficulty in recruiting nonprofessional workers, to about 20 percent  ."
combined,1,4,4,"The increase in orders for consumer goods and imports of goods for manufacturing, combined with the lack of manpower and storage space at the ports, are leading to difficulties in supply chains."
report,1,4,4,"Despite this, the employment report indicated a slowdown in the pace of job additions."
employed persons,2,4,4,"The number of employed persons in May was about 300,000 below potential according to the trend forecast prior to the crisis."
indicating economic expansion,3,4,4,"The global Purchasing Managers’ Index continues to increase, indicating economic expansion, and for the first time since the outbreak of the COVID-19 crisis, the index for the services sector indicates a higher level than for the manufacturing sector."
trade continued,2,4,4,The volume of world trade continued to increase in recent months.
increase although,2,4,4,"Equity indices continue to increase, although the pace of price increases was relatively moderate."
although the pace,3,4,4,"Equity indices continue to increase, although the pace of price increases was relatively moderate."
economies remained,2,4,4,Monetary policy in the major economies remained very accommodative.
economy process,2,4,4,The Israeli economy’s process of recovery from the crisis continues.
crisis continues,2,4,4,The Israeli economy’s process of recovery from the crisis continues.
israeli economy process,3,4,4,The Israeli economy’s process of recovery from the crisis continues.
process of recovery,3,4,4,The Israeli economy’s process of recovery from the crisis continues.
sector continued,2,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, the aggregate net balance of the business sector continued to increase in July, and was at its highest level since the outbreak of the COVID-19 crisis  ."
ships and aircraft,3,4,4,"The sharp increase in uses is also reflected in imports (excluding defense, ships and aircraft, and diamonds), which grew by 17.6 percent  ."
professional employees,2,4,4,"According to the Business Tendency Survey, the shortage of workers continues to weigh on the expansion of activity, particularly in the hotels, manufacturing (professional employees), and services industries  ."
housing prices,2,4,4,The increase in housing prices in recent months has been accompanied by an increase in the prices of construction inputs.
index increased slightly,3,4,4,"In the capital market, the Tel Aviv 125 index increased slightly relative to parallel indices abroad, and corporate bond spreads increased slightly but remained very low  ."
financing difficulties,2,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, reported financing difficulties among businesses of various sizes are returning to levels similar to those that were prevalent prior to the crisis  ."
global production chain,3,4,4,"The recovery in the global economy continues, but there is growing concern that the “Delta variant” will lead to an increase in morbidity and a return of restrictions, and will thereby lead to a slowdown in activity and deepening difficulties in the global production chain."
eurozone gdp,2,4,4,"In the eurozone, GDP grew by about 8.2 percent in annual terms compared to the previous quarter, following two quarters of contraction."
increases in number,3,4,4,"Furthermore, there were interest rate increases in a number of developing economies in which there are significant inflationary pressures. decision will be published on September 6, 2021."
revised its staff,3,4,4,The Research Department revised its staff forecast upward.
waves of morbidity,3,4,4,"However, there is still a great deal of uncertainty regarding economic activity in the medium term, mainly in view of the risk of cyclicality of additional waves of morbidity."
maintains,1,4,4,"The Monetary Committee is closely monitoring these developments, and maintains its assessment that there is no concern of an inflationary outbreak."
developments and maintains,3,4,4,"The Monetary Committee is closely monitoring these developments, and maintains its assessment that there is no concern of an inflationary outbreak."
maintains its assessment,3,4,4,"The Monetary Committee is closely monitoring these developments, and maintains its assessment that there is no concern of an inflationary outbreak."
market equity prices,3,4,4,"In the capital market, equity prices increased during the reviewed period, in contrast with the global trend, and corporate bond spreads declined slightly  ."
minutes,1,4,4,"The minutes of the monetary discussions prior to this interest rate decision will be published on October 21, 2021."
monetary discussions,2,4,4,"The minutes of the monetary discussions prior to this interest rate decision will be published on October 21, 2021."
discussions prior,2,4,4,"The minutes of the monetary discussions prior to this interest rate decision will be published on October 21, 2021."
monetary discussions prior,3,4,4,"The minutes of the monetary discussions prior to this interest rate decision will be published on October 21, 2021."
signs of slowdown,3,4,4,"In the global economy, the trend of recovery continues, but there are increasing signs of a slowdown in the growth rate."
path of inflation,3,4,4,"The Committee will therefore continue to conduct an accommodative monetary policy for a prolonged time, in accordance with the pace of growth, employment, and the path of inflation."
reflecting gap,2,4,4,"Following the rapid increase in the first half of the year, the adjusted employment rate (for those aged 15+) has ranged around 59 percent from the second half of July to the end of October, reflecting a gap of about 150,000 employed persons compared with the average employment rate in 2019."
environment continued,2,4,4,The global inflation environment continued to increase and remains high.
inflation environment continued,3,4,4,The global inflation environment continued to increase and remains high.
previous quarters,2,4,4,"In the US, there was a further increase in inflation, to a year-over-year level of 6.2 percent, third quarter growth was lower than in previous quarters, and the labor market continues to recover gradually."
increased volatility,2,4,4,"Since the previous interest rate decision, there has been increased volatility in the exchange rate."
targets and monetary,3,4,4,"In most countries, the inflation indices have increased to levels higher than their central bank targets, and monetary tightening around the world continues. ​ The Israeli economy’s process of recovery from the crisis continues."
especially,1,4,4,"However, with the increase in the spread of the Omicron variant in December, there was a decline in credit card purchases, especially in the domestic tourism industries  ."
houses remained,2,4,4,The revised growth forecasts of the various investment houses remained virtually unchanged.
gas prices,2,4,4,Natural gas prices in Europe were very volatile in view of the energy crisis in Europe.
natural gas prices,3,4,4,Natural gas prices in Europe were very volatile in view of the energy crisis in Europe.
data gdp grew,3,4,4,"According to National Accounts data, GDP grew by 8.1 percent in 2021, beyond the forecast growth, and per capita GDP grew by 6.3 percent."
inflation will remain,3,4,4,"The professional forecasters project that inflation will remain around the upper bound of the target range in the coming months, and is then expected to decline toward the midpoint of the range."
continuing global,2,4,4,"In view of the continuing global supply chain difficulties, the intensity of the equipment and raw materials constraint reported by companies remained high."
sizes remained,2,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, financing constraints among businesses of various sizes remained similar to precrisis levels."
various sizes remained,3,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, financing constraints among businesses of various sizes remained similar to precrisis levels."
growth accompanied,2,4,4,"The Israeli economy is recording strong growth, accompanied by a tight labor market and an increase in the inflation environment."
recording strong growth,3,4,4,"The Israeli economy is recording strong growth, accompanied by a tight labor market and an increase in the inflation environment."
strong growth accompanied,3,4,4,"The Israeli economy is recording strong growth, accompanied by a tight labor market and an increase in the inflation environment."
components continued,2,4,4,The annual pace of inflation in both the nontradable and the tradable components continued to increase in recent months  .
tradable components continued,3,4,4,The annual pace of inflation in both the nontradable and the tradable components continued to increase in recent months  .
number of months,3,4,4,"The aggregate balance of the Central Bureau of Statistics Business Tendency Survey for March increased, and continued to reflect businesses’ positive assessments of their situation  .According to the survey, the net balance is also positive in the hotels industry for the first time in a number of months."
covid morbidity,2,4,4,"Globally, the war in Ukraine and its effects, as well as the slowdown in economic activity in China due to the increase in COVID-19 morbidity there and policy’s response to it, are extending the interruptions in the global production chain, despite some decline in shipping prices."
increase in covid,3,4,4,"Globally, the war in Ukraine and its effects, as well as the slowdown in economic activity in China due to the increase in COVID-19 morbidity there and policy’s response to it, are extending the interruptions in the global production chain, despite some decline in shipping prices."
events,1,4,4,"Equity and commodity markets traded at high volatility in view of global events, mainly those in Europe."
volatility in view,3,4,4,"Equity and commodity markets traded at high volatility in view of global events, mainly those in Europe."
startup,1,4,4,"The decline in GDP in the first quarter was mainly influenced by declines in services exports (excluding the sale of startup companies), public consumption, and investments in the principal industries  ."
startup companies,2,4,4,"The decline in GDP in the first quarter was mainly influenced by declines in services exports (excluding the sale of startup companies), public consumption, and investments in the principal industries  ."
purchases remained,2,4,4,"Total credit card purchases remained high, with a marked recovery in the tourism, leisure, transportation, and restaurant industries."
aged declined,2,4,4,"In April, the adjusted employment rate (aged 15+) declined slightly, to 60.1 percent—slightly lower than the average employment rate in 2019 (61.1 percent)."
paths,1,4,4,"In the bond markets, the increases in yields on government bonds continued, with a high level of volatility, in view of the increase in the inflation environment and uncertainty regarding the future inflation and interest rate paths."
rate paths,2,4,4,"In the bond markets, the increases in yields on government bonds continued, with a high level of volatility, in view of the increase in the inflation environment and uncertainty regarding the future inflation and interest rate paths."
interest rate paths,3,4,4,"In the bond markets, the increases in yields on government bonds continued, with a high level of volatility, in view of the increase in the inflation environment and uncertainty regarding the future inflation and interest rate paths."
slowdown in global,3,4,4,"However, the possible slowdown in global economic activity in view of the effects of the war in Ukraine and the slowdown in manufacturing activity in China, as well as the political uncertainty in Israel, may have a negative impact on economic activity."
inflation monetary,2,4,4,"Globally, high inflation, monetary tightening, and the difficulties in the production chain continue to weigh upon growth in the advanced economies."
high inflation monetary,3,4,4,"Globally, high inflation, monetary tightening, and the difficulties in the production chain continue to weigh upon growth in the advanced economies."
inflation monetary tightening,3,4,4,"Globally, high inflation, monetary tightening, and the difficulties in the production chain continue to weigh upon growth in the advanced economies."
tighter,1,4,4,Government bond markets were very volatile in view of the increase in inflation and expectations of a tighter monetary policy on the part of central banks.
tighter monetary,2,4,4,Government bond markets were very volatile in view of the increase in inflation and expectations of a tighter monetary policy on the part of central banks.
tighter monetary policy,3,4,4,Government bond markets were very volatile in view of the increase in inflation and expectations of a tighter monetary policy on the part of central banks.
home prices continues,3,4,4,"The upward trend in home prices continues to accelerate, with prices increasing 17.8 percent in the past 12 months."
activity is strong,3,4,4,Economic activity is strong.
global supply chains,3,4,4,"Due to the easing of pressure in the global supply chains, the magnitude of the equipment and raw materials constraint eased in both the manufacturing and construction industries."
rate percent,2,4,4,"The unemployment rate for those aged 15+ was 3.4 percent (seasonally adjusted), and the employment rate (61 percent) has been stable for a number of months, and is around its 2019 average levels."
spreads remained virtually,3,4,4,"Yields on long-term government bonds declined, and corporate bond spreads remained virtually unchanged  ."
emerging markets declined,3,4,4,"The global purchasing managers’ index of advanced economies declined in July, and indicates a continued slowdown of economic activity, while the index for the emerging markets declined, but indicates expansion  ."
consecutive time,2,4,4,"In its most recent meeting, the Federal Reserve raised the federal funds rate by 75 basis points, for the second consecutive time, and emphasized its commitment to lower inflation."
activity accompanied,2,4,4,"The Israeli economy is recording strong economic activity, accompanied by a tight labor market and an increase in the inflation environment."
recording strong economic,3,4,4,"The Israeli economy is recording strong economic activity, accompanied by a tight labor market and an increase in the inflation environment."
economic activity accompanied,3,4,4,"The Israeli economy is recording strong economic activity, accompanied by a tight labor market and an increase in the inflation environment."
businesses expectations,2,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, there was some decline in businesses’ expectations of expanding their employee numbers, but those expectations remain higher than they were prior to the crisis."
expectations of expanding,3,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, there was some decline in businesses’ expectations of expanding their employee numbers, but those expectations remain higher than they were prior to the crisis."
housing transactions continues,3,4,4,The number of housing transactions continues to decline.
overall index,2,4,4,"In parallel the increase in inflation continues, and the overall index is at 10.0 percent."
indicate some moderation,3,4,4,"The labor market remains tight and in a full employment environment, although the most recent data indicate some moderation."
level that reflects,3,4,4,"The volume of activity in world trade increased in August, but the orders for export component of the Purchasing Managers Index, which is a leading indicator of the volume of trade in the coming months, remains at a level that reflects contraction."
message,1,4,4,"Inflation expectations for all ranges are within the target range To view the message click here Inflation in Israel is 5.3 percent over the past 12 months, and is high in a wide range of CPI components."
israel remains lower,3,4,4,"With that, inflation in Israel remains lower than in most of the advanced economies  ."
components is percent,3,4,4,The pace of inflation of the nontradable components is 5.3 percent—partly in view of the increase in the housing services component.
demand are working,3,4,4,"In the Committee’s assessment, these trends and the process of monetary tightening in Israel and abroad, as well as the moderation of demand, are working to moderate inflation."
aged percent,2,4,4,"The employment rate among the prime working ages (25–64) remains high (78.2 percent), but the most recent data show some decline  .The unemployment rate for those aged 15+ (3.9 percent) and among the prime working ages (3.5 percent) have been in an upward trend since June 2022  ."
indicate businesses,2,4,4,"The aggregate balance of the Business Tendency Survey, conducted by the Central Bureau of Statistics, for January continues to indicate businesses’ positive assessments regarding their situation, but to a smaller extent relative to most months of 2022  ."
indicate businesses positive,3,4,4,"The aggregate balance of the Business Tendency Survey, conducted by the Central Bureau of Statistics, for January continues to indicate businesses’ positive assessments regarding their situation, but to a smaller extent relative to most months of 2022  ."
industry continues,2,4,4,The level of the equipment and raw materials constraint in the manufacturing industry continues to decline but remains slightly higher than just before the COVID-19 crisis  .
trade volume,2,4,4,"In addition, the component of orders for exports in the Purchasing Managers Index, which serves as a leading index for world trade volume, indicates that in January as well the scope of world trade activity remained relatively low."
world trade volume,3,4,4,"In addition, the component of orders for exports in the Purchasing Managers Index, which serves as a leading index for world trade volume, indicates that in January as well the scope of world trade activity remained relatively low."
essentially,1,4,4,Oil prices remained essentially unchanged.
market although,2,4,4,"Economic activity in Israel is at a high level, and is accompanied by a tight labor market, although there is some moderation in a number of indicators."
labor market although,3,4,4,"Economic activity in Israel is at a high level, and is accompanied by a tight labor market, although there is some moderation in a number of indicators."
broad and remains,3,4,4,Inflation is broad and remains high.
therefore the monetary,3,4,4,"Therefore, the Monetary Committee decided to increase the interest rate."
policy and moderation,3,4,4,"The tighter monetary policy and moderation of activity abroad are expected to lead to some slowdown in economic activity in Israel, alongside a slowing of the pace of inflation."
month last,2,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, there was a decline in the employee shortage constraint reported by companies in February compared with same month last year."
month last year,3,4,4,"According to the Central Bureau of Statistics Business Tendency Survey, there was a decline in the employee shortage constraint reported by companies in February compared with same month last year."
examined,1,4,4,"For example, we examined a scenario involving a significant temporary escalation in the war, which would require a reserve mobilization similar in scale to the beginning of the war."
estate,1,4,4,"Despite the decline in the number of real estate transactions, there are no apparent signs of slowdown in the labor market in the construction industry."
real estate,2,4,4,"Despite the decline in the number of real estate transactions, there are no apparent signs of slowdown in the labor market in the construction industry."
relative to global,3,4,4,"In the domestic capital markets there were declines in the equity indices during the reviewed period, and the Israeli equity indices reflect underperformance relative to global equity indices since the beginning of the year."
activity data continue,3,4,4,"In the US, activity data continue to indicate relatively strong activity, and the labor market remains tight."
full press,2,4,4,"Full press release, click here Inflation in Israel over the past 12 months remains above the upper bound of the target range, at 5 percent, and is high in a wide range of CPI components."
full press release,3,4,4,"Full press release, click here Inflation in Israel over the past 12 months remains above the upper bound of the target range, at 5 percent, and is high in a wide range of CPI components."
consecutive quarters,2,4,4,An analysis of the data shows that the level of GDP reflects a high level of activity that has been above the precrisis trend line for six consecutive quarters  .
diamonds increased,2,4,4,"Services exports increased, and remain very high, and goods exports (in current dollar terms, excluding ships, aircraft, and diamonds) increased as well in April, but remain lower than the 2022 monthly average  ."
